date,open,high,low,close,volume
2018-05-31,187.87,192.72,187.48,191.78,30782631
2018-06-01,193.065,194.5492,192.07,193.99,17307245
2018-06-04,191.84,193.98,191.47,193.28,18939795
2018-06-05,194.3,195.0,192.62,192.94,15544294
2018-06-06,191.0252,192.53,189.11,191.34,22558920
2018-06-07,190.75,190.97,186.77,188.18,21503171
2018-06-08,187.53,189.4754,186.43,189.1,12677092
2018-06-11,188.81,192.6,188.8,191.54,12928907
2018-06-12,192.17,193.28,191.56,192.4,11562704
2018-06-13,192.74,194.5,191.91,192.41,15853821
2018-06-14,193.1,197.28,192.91,196.81,19120866
2018-06-15,195.79,197.07,194.64,195.85,21860931
2018-06-18,194.8,199.58,194.13,198.31,16826023
2018-06-19,196.2352,197.96,193.79,197.49,19993996
2018-06-20,199.1,203.55,198.805,202.0,28230933
2018-06-21,202.76,203.39,200.09,201.5,19045717
2018-06-22,201.16,202.24,199.31,201.74,17420188
2018-06-25,200.0,200.0,193.11,196.35,25275137
2018-06-26,197.6,199.1,196.23,199.0,17897576
2018-06-27,199.18,200.75,195.8,195.84,18734408
2018-06-28,195.18,197.34,193.26,196.23,18172439
2018-06-29,197.32,197.5997,193.955,194.32,15811602
2018-07-02,193.37,197.45,192.22,197.36,13961578
2018-07-03,194.55,195.4,192.52,192.73,13489514
2018-07-05,194.74,198.65,194.03,198.45,19684193
2018-07-06,198.45,203.64,197.7,203.23,19740131
2018-07-09,204.93,205.8,202.1201,204.74,18149437
2018-07-10,204.5,204.91,202.26,203.54,13190067
2018-07-11,202.22,204.5,201.75,202.54,12927377
2018-07-12,203.43,207.08,203.19,206.92,15454706
2018-07-13,207.81,208.43,206.45,207.32,11503401
2018-07-16,207.5,208.72,206.84,207.23,11078209
2018-07-17,204.9,210.46,204.84,209.99,15349892
2018-07-18,209.82,210.99,208.44,209.36,15334907
2018-07-19,208.77,209.99,207.76,208.09,11350429
2018-07-20,208.85,211.5,208.5,209.94,16241508
2018-07-23,210.58,211.62,208.8,210.91,16731969
2018-07-24,215.11,216.2,212.6,214.67,28468681
2018-07-25,215.715,218.62,214.27,217.5,64592585
2018-07-26,174.89,180.13,173.75,176.26,169803668
2018-07-27,179.87,179.93,173.0,174.89,60073749
2018-07-30,175.3,175.3,166.56,171.06,65280787
2018-07-31,170.67,174.24,170.0,172.58,40356471
2018-08-01,173.93,175.08,170.9,171.65,34042109
2018-08-02,170.68,176.79,170.27,176.37,32399954
2018-08-03,177.69,178.85,176.15,177.78,24763434
2018-08-06,178.97,185.79,178.38,185.69,49716192
2018-08-07,186.5,188.3,183.72,183.81,33398562
2018-08-08,184.75,186.85,183.76,185.18,22205230
2018-08-09,185.8492,186.57,182.48,183.09,19732120
2018-08-10,182.04,182.1,179.42,180.26,21500410
2018-08-13,180.1,182.61,178.9,180.05,17423264
2018-08-14,180.71,181.99,178.62,181.11,19101995
2018-08-15,179.34,180.87,174.78,179.53,33020231
2018-08-16,180.42,180.5,174.01,174.7,31351784
2018-08-17,174.5,176.22,172.04,173.8,24893176
2018-08-20,174.04,174.57,170.91,172.5,21518006
2018-08-21,172.81,174.17,171.39,172.62,19578514
2018-08-22,172.21,174.24,172.13,173.64,16894083
2018-08-23,173.09,175.55,172.83,172.9,18053567
2018-08-24,173.7,174.82,172.92,174.645,14631556
2018-08-27,175.99,178.67,175.79,177.46,17921935
2018-08-28,178.1,178.2399,175.83,176.26,15910675
2018-08-29,176.295,176.79,174.75,175.9,18678301
2018-08-30,175.9,179.7901,175.7,177.64,24216532
2018-08-31,177.15,177.62,174.9815,175.73,18065159
2018-09-04,173.5,173.89,168.8,171.16,29808971
2018-09-05,169.49,171.125,166.67,167.18,31226744
2018-09-06,166.98,166.98,160.0,162.53,41514834
2018-09-07,160.31,164.6269,160.16,163.04,24300600
2018-09-10,163.51,165.01,162.16,164.18,20197680
2018-09-11,163.94,167.19,163.72,165.94,20457088
2018-09-12,163.25,164.49,161.8,162.0,24078118
2018-09-13,162.0,163.32,160.86,161.36,25453775
2018-09-14,161.715,162.84,160.34,162.32,21770405
2018-09-17,161.92,162.06,159.77,160.58,21005321
2018-09-18,159.39,161.7639,158.8656,160.3,22465236
2018-09-19,160.08,163.44,159.48,163.06,19628996
2018-09-20,164.5,166.45,164.4722,166.02,18936038
2018-09-21,166.64,167.25,162.81,162.93,45994800
2018-09-24,161.03,165.7,160.88,165.41,19222775
2018-09-25,161.99,165.59,161.15,164.91,27622806
2018-09-26,164.3,169.3,164.21,166.95,25252231
2018-09-27,167.55,171.77,167.21,168.84,27266856
2018-09-28,168.33,168.79,162.56,164.46,34265638
2018-10-01,163.03,165.88,161.26,162.44,26407677
2018-10-02,161.58,162.28,158.67,159.33,36030977
2018-10-03,160.0,163.66,159.53,162.43,23109456
2018-10-04,161.46,161.46,157.35,158.85,25739635
2018-10-05,159.21,160.9,156.2,157.33,25744047
2018-10-08,155.54,158.34,154.39,157.25,24045968
2018-10-09,157.69,160.59,157.42,157.9,18844425
2018-10-10,156.82,157.69,151.31,151.38,30609970
2018-10-11,150.13,154.81,149.16,153.35,35338901
2018-10-12,156.73,156.89,151.2998,153.74,25293492
2018-10-15,153.32,155.57,152.55,153.52,15433521
2018-10-16,155.4,159.46,155.01,158.78,19180095
2018-10-17,159.56,160.49,157.95,159.42,17592003
2018-10-18,158.51,158.66,153.28,154.92,21675084
2018-10-19,155.86,157.35,153.55,154.05,19761347
2018-10-22,154.76,157.34,154.46,154.78,15424658
2018-10-23,151.22,154.77,150.85,154.39,19095032
2018-10-24,154.28,154.65,145.6,146.04,27744597
2018-10-25,147.73,152.21,147.0,150.95,22105696
2018-10-26,145.82,149.0,143.8,145.37,31303341
2018-10-29,148.5,148.83,139.03,142.09,31336784
2018-10-30,139.935,146.64,139.7419,146.22,50528278
2018-10-31,155.0,156.4,148.96,151.79,60101251
2018-11-01,151.52,152.75,149.35,151.75,25640786
2018-11-02,151.8,154.13,148.96,150.35,24708695
2018-11-05,150.1,150.19,147.44,148.68,15969849
2018-11-06,149.31,150.97,148.0,149.94,16667124
2018-11-07,151.57,153.01,149.83,151.53,21877372
2018-11-08,150.49,150.94,146.74,147.87,24145814
2018-11-09,146.75,147.76,144.07,144.96,17326898
2018-11-12,144.48,145.04,140.4899,141.55,18542123
2018-11-13,142.0,144.88,141.62,142.16,15141710
2018-11-14,143.7,145.58,141.55,144.22,22068384
2018-11-15,142.33,144.84,140.83,143.85,30320280
2018-11-16,141.07,141.77,137.77,139.53,37250560
2018-11-19,137.61,137.75,131.21,131.55,44362729
2018-11-20,127.03,134.1592,126.85,132.43,41939475
2018-11-21,134.4,137.19,134.13,134.82,25469735
2018-11-23,133.65,134.5,131.2551,131.73,11886128
2018-11-26,133.0,137.0,132.78,136.38,24263640
2018-11-27,135.75,136.6126,133.71,135.0,20750318
2018-11-28,136.28,136.7899,131.85,136.76,29847505
2018-11-29,135.92,139.99,135.66,138.68,24238713
2018-11-30,138.26,140.966,137.36,140.61,25732577
2018-12-03,143.0,143.6799,140.76,141.09,24819226
2018-12-04,140.73,143.39,137.16,137.93,30307400
2018-12-06,133.82,139.7,133.67,139.63,28218145
2018-12-07,139.25,140.87,136.6566,137.42,21195460
2018-12-10,139.6,143.05,139.01,141.85,26422173
2018-12-11,143.88,143.88,141.1,142.08,20300349
2018-12-12,143.08,147.19,142.51,144.5,23696936
2018-12-13,145.57,145.85,143.19,145.01,18148610
2018-12-14,143.34,146.01,142.51,144.06,21785820
2018-12-17,143.08,144.92,138.42,140.19,24333959
2018-12-18,141.08,145.93,139.8301,143.66,24709084
2018-12-19,141.21,144.91,132.5,133.24,57404894
2018-12-20,130.7,135.57,130.0,133.4,40297944
2018-12-21,133.39,134.9,123.42,124.95,56901491
2018-12-24,123.1,129.74,123.02,124.06,22066002
2018-12-26,126.0,134.24,125.89,134.18,39723370
2018-12-27,132.44,134.99,129.67,134.52,31202509
2018-12-28,135.34,135.92,132.2,133.2,22627569
2018-12-31,134.45,134.64,129.95,131.09,24625308
2019-01-02,128.99,137.51,128.56,135.68,28146193
2019-01-03,134.69,137.17,131.12,131.74,22717948
2019-01-04,134.01,138.0,133.75,137.95,29002059
2019-01-07,137.56,138.87,135.91,138.05,20089337
2019-01-08,139.89,143.14,139.54,142.53,26263793
2019-01-09,142.95,144.7,141.27,144.23,22205879
2019-01-10,143.08,144.56,140.84,144.2,16125004
2019-01-11,143.15,145.36,142.57,143.8,12908031
2019-01-14,142.0,146.57,141.27,145.39,20520278
2019-01-15,146.01,150.68,145.99,148.95,24068822
2019-01-16,149.0,149.6499,146.9975,147.54,18025714
2019-01-17,146.95,149.0,146.5,148.3,15787914
2019-01-18,149.75,152.43,148.55,150.04,31029612
2019-01-22,149.2,151.53,146.37,147.57,22378694
2019-01-23,148.28,148.8,143.055,144.3,20098415
2019-01-24,144.64,146.44,142.52,145.83,20955518
2019-01-25,147.48,149.83,146.54,149.01,22250954
2019-01-28,148.05,148.96,146.21,147.47,15508483
2019-01-29,148.09,148.1,143.43,144.19,17631953
2019-01-30,146.22,150.95,145.6953,150.42,44613240
2019-01-31,165.6,171.68,165.0,166.69,77233602
2019-02-01,165.84,169.1,165.66,165.71,30806513
2019-02-04,165.7,169.3,163.62,169.25,20036470
2019-02-05,169.15,171.98,168.69,171.16,22556985
2019-02-06,171.2,172.47,169.27,170.49,13281161
2019-02-07,168.2,169.24,165.25,166.38,17517609
2019-02-08,164.47,167.37,164.21,167.33,12561422
2019-02-11,167.9,168.3,165.08,165.79,12811176
2019-02-12,166.86,168.34,164.5,165.04,16292290
2019-02-13,165.38,166.22,163.73,164.07,14205146
2019-02-14,163.19,164.8697,162.2468,163.95,12755151
2019-02-15,164.51,164.7,160.86,162.5,15504415
2019-02-19,160.5,164.15,160.33,162.29,14345390
2019-02-20,162.25,163.72,161.25,162.56,11770692
2019-02-21,161.93,162.24,159.59,160.04,15607828
2019-02-22,160.58,162.41,160.31,161.89,15858468
2019-02-25,163.07,166.07,162.9,164.62,18737106
2019-02-26,164.335,166.24,163.8,164.13,13784063
2019-02-27,162.9,163.93,160.41,162.81,12697485
2019-02-28,162.37,163.5,160.86,161.45,11114185
2019-03-01,162.6,163.132,161.69,162.28,11097770
2019-03-04,163.9,167.5,163.83,167.37,18894689
2019-03-05,167.37,171.88,166.55,171.26,28187890
2019-03-06,172.9,173.57,171.27,172.51,21531723
2019-03-07,171.5,171.74,167.61,169.13,18306504
2019-03-08,166.2,169.62,165.97,169.6,13184831
2019-03-11,171.6,174.3,171.58,172.07,18883983
2019-03-12,172.09,173.8,171.2178,171.92,12155264
2019-03-13,172.32,174.03,172.12,173.37,11973280
2019-03-14,169.76,171.15,168.16,170.17,18037364
2019-03-15,167.16,167.58,162.51,165.98,37126000
2019-03-18,163.57,163.9,159.28,160.47,37524191
2019-03-19,161.48,163.82,160.82,161.57,25611488
2019-03-20,161.5,166.12,161.24,165.44,20211474
2019-03-21,164.89,166.39,163.75,166.08,16223007
2019-03-22,165.65,167.42,164.09,164.34,16389185
2019-03-25,163.0,166.54,162.0,166.29,12631230
2019-03-26,167.35,169.45,166.3499,167.68,15437920
2019-03-27,167.85,168.94,164.79,165.87,10620299
2019-03-28,164.57,166.72,163.33,165.55,10689171
2019-03-29,166.39,167.19,164.81,166.69,13455454
2019-04-01,167.83,168.9,167.2789,168.7,10381490
2019-04-02,170.14,174.9,169.55,174.2,23946529
2019-04-03,174.5,177.96,172.95,173.54,27590058
2019-04-04,176.02,178.0,175.5301,176.02,17847731
2019-04-05,176.88,177.0,175.1,175.72,9594133
2019-04-08,175.21,175.5,174.23,174.93,7297379
2019-04-09,175.62,179.19,175.55,177.58,19751031
2019-04-10,178.18,178.79,176.54,177.82,11701479
2019-04-11,178.24,178.4,177.0,177.51,8070967
2019-04-12,178.0,179.63,177.95,179.1,12329812
2019-04-15,178.5,180.5,176.87,179.65,10834762
2019-04-16,179.0,180.17,178.3,178.87,11215193
2019-04-17,179.6,180.74,178.36,178.78,9973732
2019-04-18,178.8,178.88,177.34,178.28,11655608
2019-04-22,178.25,181.665,178.25,181.44,13389889
2019-04-23,182.74,184.22,181.48,183.78,19954814
2019-04-24,184.49,185.14,181.65,182.58,37289871
2019-04-25,196.98,198.48,192.12,193.26,54148789
