date,open,high,low,close,volume
2016-02-18,112.3457,112.5129,111.0729,111.4538,4460722
2016-02-19,111.3145,113.061,110.3204,113.0517,5435541
2016-02-22,114.2687,115.6344,113.4605,114.1294,7796862
2016-02-23,117.9848,118.1613,114.5939,115.6901,11168725
2016-02-24,115.2442,116.8514,114.1944,116.6934,7935545
2016-02-25,116.8328,117.8547,116.0255,117.8547,4738820
2016-02-26,118.5329,118.6815,116.9907,117.2973,4608229
2016-02-29,117.2973,117.9755,115.2442,115.3092,5575320
2016-03-01,115.9224,117.0279,115.1792,116.7771,4916912
2016-03-02,116.5727,116.935,115.6251,116.6749,3967489
2016-03-03,116.3125,118.2263,115.9224,117.799,5009737
2016-03-04,118.3285,118.4474,116.2754,116.647,6448180
2016-03-07,116.136,117.5574,116.136,117.2137,4161174
2016-03-08,116.9708,119.7545,116.7653,118.372,5280935
2016-03-09,118.6616,119.1193,117.0736,117.7275,4047028
2016-03-10,117.8863,118.6336,116.1208,117.5967,4503668
2016-03-11,118.6056,120.2776,118.3814,119.9974,4626637
2016-03-14,119.9694,121.1184,119.6611,120.3524,3653235
2016-03-15,120.2963,121.8843,120.1469,121.1651,4034561
2016-03-16,121.0903,122.4728,120.3243,121.8563,3609559
2016-03-17,121.5294,122.5476,120.8007,122.258,4131148
2016-03-18,122.5008,123.3883,122.2113,122.697,8069183
2016-03-21,122.8652,123.4256,121.6882,122.3794,3816956
2016-03-22,122.0058,122.5756,121.3612,121.9871,3946527
2016-03-23,121.9871,122.5382,121.3892,121.6415,3625269
2016-03-24,121.0063,122.1459,120.9315,121.8656,3449469
2016-03-28,121.9964,123.1267,121.8937,122.4448,2621143
2016-03-29,122.3701,124.1449,122.0992,123.7432,3405373
2016-03-30,124.3411,125.1061,124.0889,124.6306,3138348
2016-03-31,124.7614,125.4433,124.2383,124.64,3685885
2016-04-01,124.3317,126.2934,124.3317,125.9664,4259433
2016-04-04,127.1061,127.2555,125.4994,125.9664,3548253
2016-04-05,125.3593,126.7605,125.079,125.7142,4068595
2016-04-06,125.406,126.7979,125.0043,126.5176,3365550
2016-04-07,125.8543,126.3308,124.3504,125.051,3953672
2016-04-08,125.7516,125.7516,124.2944,124.8175,2924397
2016-04-11,124.7801,126.1813,124.201,124.2477,3472679
2016-04-12,124.5186,125.845,124.3411,125.5274,4251412
2016-04-13,125.9758,125.9758,124.4438,125.023,4324776
2016-04-14,124.7054,125.838,124.1262,125.5181,4183300
2016-04-15,125.5554,126.3634,125.1444,126.1159,3508913
2016-04-18,125.9291,127.788,125.8637,127.788,3965031
2016-04-19,127.788,127.9748,125.9664,126.5176,4649466
2016-04-20,126.8072,127.1154,125.6208,126.284,4760195
2016-04-21,126.3214,126.5643,125.5367,125.7329,3542180
2016-04-22,125.9664,126.7418,124.6213,126.7231,4180910
2016-04-25,126.2747,126.7884,125.434,126.7137,2835404
2016-04-26,126.1906,127.2649,125.9945,126.4242,3507212
2016-04-27,126.4522,127.3022,125.887,126.8072,3488050
2016-04-28,125.9291,126.5176,123.7619,123.9861,5553551
2016-04-29,123.9674,125.4527,123.0707,125.0697,4610053
2016-05-02,125.5181,127.2742,125.462,127.0874,4284363
2016-05-03,126.5269,126.8911,125.2098,125.6769,3408711
2016-05-04,124.7895,126.4802,124.3598,126.256,3192089
2016-05-05,125.9851,126.4522,124.9389,125.7983,3474903
2016-05-06,125.6208,126.8632,125.463,126.7605,3356848
2016-05-09,126.6577,127.4797,126.3308,127.2649,3552322
2016-05-10,127.3396,128.7408,127.3209,128.4512,3662758
2016-05-11,127.788,128.0215,125.2098,125.4527,6058405
2016-05-12,126.1066,126.1066,124.3317,125.3499,5355621
2016-05-13,124.995,126.4148,124.2663,124.3598,5295789
2016-05-16,125.023,127.5545,124.313,126.4242,8394783
2016-05-17,124.3784,125.6302,122.4635,123.3042,15989556
2016-05-18,122.3981,124.0236,121.4546,123.0893,8258938
2016-05-19,122.7904,123.4256,122.1646,123.052,4577199
2016-05-20,123.2014,124.2944,123.0688,123.1641,5089786
2016-05-23,123.1547,123.7526,122.6503,122.7624,3854497
2016-05-24,123.4723,125.0511,123.3509,124.5746,5181511
2016-05-25,124.668,125.6582,124.285,124.4251,5017700
2016-05-26,124.3598,125.5087,124.1075,125.2191,3996805
2016-05-27,125.2378,126.0131,124.5933,125.1165,4025272
2016-05-31,125.4169,125.6329,123.6798,124.0554,6366892
2016-06-01,123.5484,124.0554,123.1446,123.7831,4744329
2016-06-02,123.8019,124.6,123.3136,124.3277,3858481
2016-06-03,124.4404,124.6282,122.9287,123.6986,4155852
2016-06-06,122.8348,122.8817,120.6282,121.3043,8051735
2016-06-07,121.4827,122.816,121.4263,121.9897,4433982
2016-06-08,122.0742,122.3418,121.3606,121.6799,3742365
2016-06-09,121.3794,121.9146,121.1634,121.4076,3450623
2016-06-10,120.6094,121.339,120.3841,120.9662,3926010
2016-06-13,121.0695,121.5484,119.985,120.0273,4830907
2016-06-14,119.539,119.6611,117.0977,117.5954,7303517
2016-06-15,118.0649,119.9522,117.8301,118.8066,5139988
2016-06-16,118.3559,119.755,117.9897,119.586,4432314
2016-06-17,119.7362,119.9803,118.9944,119.3794,7541933
2016-06-20,120.309,120.985,119.6423,119.8301,3880279
2016-06-21,120.1493,120.4793,119.5156,119.9428,3600869
2016-06-22,119.8958,121.0977,119.6235,119.8113,3723663
2016-06-23,121.1071,121.2198,119.6705,120.4592,4784451
2016-06-24,118.4029,119.9991,117.8395,118.6846,8979810
2016-06-27,117.6893,118.0742,116.0743,117.0602,5674722
2016-06-28,118.2057,119.7456,117.9334,119.7456,5385017
2016-06-29,120.093,120.6282,119.154,119.5954,5782130
2016-06-30,119.5015,120.0555,118.4029,119.8958,6641997
2016-07-01,120.4592,122.2808,120.2996,121.708,5645180
2016-07-05,121.6892,122.5155,120.6592,121.4545,4096582
2016-07-06,121.3137,123.5766,121.154,123.539,4933160
2016-07-07,123.2385,124.1118,122.5906,123.154,3973585
2016-07-08,124.2526,126.1587,124.1775,126.1399,4806226
2016-07-11,126.6,127.5859,126.2432,126.9005,4576988
2016-07-12,126.985,127.6892,126.1024,126.6094,3615776
2016-07-13,126.6094,126.9474,124.9756,125.4075,4235486
2016-07-14,126.1963,126.5624,125.661,126.3277,3122618
2016-07-15,126.8723,127.3136,126.431,126.5531,5322955
2016-07-18,127.1916,128.1493,126.5812,128.0178,3730925
2016-07-19,127.7643,128.6845,127.2854,128.6188,3831522
2016-07-20,129.0131,129.0601,128.4216,129.0225,3092010
2016-07-21,128.4122,128.769,127.2009,127.7643,4975146
2016-07-22,128.0836,128.2995,127.661,128.1868,2627239
2016-07-25,128.215,128.4967,127.8394,128.1681,3352553
2016-07-26,128.1681,129.1164,127.7549,128.4028,2575629
2016-07-27,128.6469,129.2854,127.661,127.9897,3030755
2016-07-28,127.877,129.6892,127.7972,129.539,3229964
2016-07-29,129.0695,130.2526,129.0507,129.8019,3662581
2016-08-01,129.6328,130.4591,129.4357,130.2995,3157785
2016-08-02,130.431,130.5155,128.4685,128.8441,3898130
2016-08-03,128.7596,128.8441,127.4169,128.6939,3642635
2016-08-04,127.5014,128.8253,127.1916,127.7455,3802914
2016-08-05,128.6375,129.3324,128.262,128.553,3022121
2016-08-08,128.553,129.0141,127.8488,127.8958,3182761
2016-08-09,127.9521,128.7221,127.0789,127.8019,3180435
2016-08-10,127.9803,128.5343,126.816,127.323,3438042
2016-08-11,127.9897,129.107,126.9193,128.6751,4183308
2016-08-12,127.6986,129.0037,127.3531,128.2338,4090019
2016-08-15,128.7408,129.5483,128.5718,128.6939,6327437
2016-08-16,129.2479,130.1868,127.3793,127.9146,7286139
2016-08-17,127.2291,128.1399,126.5249,127.8394,5222166
2016-08-18,127.7268,127.8394,126.2338,126.5718,4430783
2016-08-19,126.215,127.4732,126.1211,127.1916,3959011
2016-08-22,127.323,127.5577,126.7784,127.0789,2752526
2016-08-23,127.6329,128.215,127.6329,127.9052,2961061
2016-08-24,127.4826,127.9333,126.5812,126.816,4113011
2016-08-25,126.5061,127.8488,126.1681,127.1634,3168909
2016-08-26,127.1634,127.8676,125.7456,126.1587,4193411
2016-08-29,126.6282,127.0413,126.3653,126.9883,3227691
2016-08-30,127.2242,127.4602,126.12,126.5636,3440622
2016-08-31,126.3654,127.111,126.0917,126.5825,4650586
2016-09-01,126.9222,127.4696,126.1483,126.6863,3851836
2016-09-02,127.1959,128.2435,126.9883,127.5546,3402622
2016-09-06,127.3752,128.0925,126.3573,126.5636,4220390
2016-09-07,125.8085,126.3465,124.7326,125.3272,4676049
2016-09-08,124.1569,125.4688,123.7511,123.8832,5019625
2016-09-09,123.298,123.534,120.5516,120.561,6315009
2016-09-12,119.3907,121.6134,118.9188,121.3632,7882616
2016-09-13,120.561,120.8064,118.3808,118.6545,6376284
2016-09-14,118.5507,119.8107,118.5083,119.1642,4313902
2016-09-15,118.8905,120.4619,118.6451,119.8248,5110485
2016-09-16,119.8815,119.8815,118.6357,119.0226,6941162
2016-09-19,119.5606,120.2118,119.0793,119.1925,4525406
2016-09-20,119.7305,120.1741,119.2303,119.7022,3627058
2016-09-21,120.3534,121.3632,119.4379,120.9102,5367370
2016-09-22,121.5803,122.3637,121.4859,121.5143,4099666
2016-09-23,121.401,121.939,120.6082,120.6082,4464702
2016-09-26,119.957,120.0797,118.3053,118.3997,5338465
2016-09-27,118.73,119.8532,118.3148,119.6927,4433646
2016-09-28,120.0608,121.3066,119.9192,121.0612,5751066
2016-09-29,121.2783,123.3924,120.7215,120.7403,5987472
2016-09-30,120.6837,121.9767,120.4572,121.4482,6044649
2016-10-03,120.9952,121.5803,120.7781,121.2783,3652715
2016-10-04,121.3066,122.6185,120.7592,120.9952,4848592
2016-10-05,121.1084,121.7785,120.3534,120.41,4115427
2016-10-06,119.7399,123.1187,119.3246,122.8733,7472410
2016-10-07,122.5336,123.081,120.6931,121.099,5511856
2016-10-10,121.2311,121.6936,120.0986,120.0986,4349741
2016-10-11,119.721,119.9381,118.4091,118.7772,5113918
2016-10-12,118.7772,120.0136,118.6451,119.57,3545903
2016-10-13,119.1548,119.5417,118.1383,119.1925,3655714
2016-10-14,119.7682,120.3911,119.3152,119.3152,4462055
2016-10-17,119.0887,119.6738,117.8617,118.1071,3753022
2016-10-18,119.0604,119.1548,118.1166,118.6734,3563302
2016-10-19,118.6923,119.0037,117.5125,118.815,4095509
2016-10-20,118.8716,119.9381,118.513,119.1548,3543223
2016-10-21,118.2676,119.6738,118.211,119.4851,3234121
2016-10-24,120.0797,120.9385,120.0797,120.5988,3824784
2016-10-25,119.1736,119.1736,116.3611,116.4083,8731869
2016-10-26,115.927,116.7953,115.5211,115.8137,5456080
2016-10-27,115.8137,116.5215,115.002,115.389,4261602
2016-10-28,115.8043,117.1161,115.3385,116.6348,4497717
2016-10-31,116.4177,116.5593,114.785,115.153,5671525
2016-11-01,114.851,115.3796,112.501,113.1522,7492561
2016-11-02,113.1899,114.4735,113.0861,113.5297,4846031
2016-11-03,113.5769,114.1337,113.3315,113.4259,5113496
2016-11-04,113.7657,115.0492,113.3126,114.1149,4607581
2016-11-07,115.6155,117.0123,115.4362,116.7953,5510441
2016-11-08,116.984,118.3714,116.6537,117.2672,6105908
2016-11-09,114.1526,119.1642,113.558,118.9377,8052506
2016-11-10,119.5983,122.7884,119.4001,121.7785,8736986
2016-11-11,121.8068,122.8167,121.4859,122.5524,5496122
2016-11-14,123.1659,123.298,119.806,120.4949,11438461
2016-11-15,119.9287,120.4949,116.0119,117.4087,13445388
2016-11-16,116.6537,118.6357,116.3517,118.2865,9793361
2016-11-17,118.7961,121.8823,118.6357,121.6841,6801184
2016-11-18,121.6841,122.09,120.5421,121.1179,4428888
2016-11-21,121.0707,121.6558,120.2496,121.014,4072116
2016-11-22,121.165,123.9209,121.165,123.6189,5535796
2016-11-23,123.9776,124.5722,123.5057,123.836,3610508
2016-11-25,124.4495,124.709,123.7039,124.1758,2545977
2016-11-28,123.8738,124.2513,122.8544,123.298,4858978
2016-11-29,123.6776,124.0856,122.6339,122.985,4127122
2016-11-30,122.7193,123.6491,122.2164,122.7762,6973817
2016-12-01,122.7193,123.6776,122.3967,122.8426,5398674
2016-12-02,122.4347,123.929,122.3113,123.2222,3738338
2016-12-05,123.6491,123.782,122.928,123.0419,4065425
2016-12-06,123.4689,123.4783,122.0907,122.15,4292631
2016-12-07,122.1595,126.2489,122.1595,125.6796,6987286
2016-12-08,125.4424,126.3153,124.8446,125.746,4975419
2016-12-09,125.727,126.5715,124.3892,126.562,5174577
2016-12-12,126.3153,127.767,126.3153,127.6911,6276056
2016-12-13,127.6626,129.8828,127.6626,129.5507,6886268
2016-12-14,129.0858,129.8733,128.8012,129.0194,7036307
2016-12-15,129.5223,130.2956,128.8202,128.8866,5839829
2016-12-16,129.1428,129.6172,128.137,128.1939,9429345
2016-12-19,128.1465,129.5128,127.8903,128.507,3463558
2016-12-20,128.7063,130.2149,128.4976,130.0916,4301529
2016-12-21,129.9208,130.2149,129.5697,129.8259,2705523
2016-12-22,129.2756,129.9872,128.2604,128.4976,4094846
2016-12-23,128.7063,129.0289,127.8903,128.137,2337685
2016-12-27,127.8619,128.7727,127.8144,128.3363,2254948
2016-12-28,128.6304,128.9056,127.767,128.156,3369386
2016-12-29,128.1085,128.896,127.7385,128.1845,2777885
2016-12-30,128.6968,128.8676,126.9795,127.2167,4149140
2017-01-03,128.1845,128.5735,126.7508,127.4349,5300410
2017-01-04,127.4634,128.9815,127.34,128.564,4055284
2017-01-05,128.0706,128.526,126.9321,127.0459,3821073
2017-01-06,127.1123,127.4539,126.2394,126.6948,3827482
2017-01-09,126.4007,127.8619,126.3248,127.4349,4310227
2017-01-10,127.1408,129.3989,126.9225,129.1333,5928339
2017-01-11,129.1333,129.4037,127.8429,128.7537,4643728
2017-01-12,128.5735,128.5924,127.0838,128.156,3600181
2017-01-13,128.0137,128.8012,127.8619,128.1275,3117703
2017-01-17,128.175,129.4938,127.8619,128.972,3976936
2017-01-18,128.9435,129.3183,128.0137,129.1902,3869678
2017-01-19,129.0384,129.7785,128.0232,128.4596,5078666
2017-01-20,128.3363,129.0384,127.71,128.6589,4853902
2017-01-23,128.3837,131.1922,128.0896,131.0024,7056159
2017-01-24,130.8221,131.2966,130.2718,130.9929,4055080
2017-01-25,131.363,132.2359,130.3952,130.4426,3631714
2017-01-26,130.9455,132.0556,130.6609,131.3725,2931605
2017-01-27,131.6951,131.7235,130.6514,131.2491,3149024
2017-01-30,130.9265,131.4009,129.8544,131.3819,2705039
2017-01-31,130.5849,131.5195,129.8449,130.5375,3227039
2017-02-01,130.6134,130.8981,129.5413,130.4047,2968801
2017-02-02,130.4331,130.509,129.5697,129.9398,2197649
2017-02-03,130.2339,131.3819,129.9587,130.917,2654729
2017-02-06,130.3952,130.8411,129.4653,129.5033,3864067
2017-02-07,130.139,130.6514,129.3515,129.6551,3242017
2017-02-08,129.8828,130.8506,129.8164,130.8221,2882742
2017-02-09,130.7273,132.0271,130.3762,131.6097,2931873
2017-02-10,131.5053,133.3745,131.1685,132.6913,3296963
2017-02-13,133.2891,133.4504,131.9323,132.7103,2753068
2017-02-14,132.7862,134.1288,132.2074,134.124,4775802
2017-02-15,134.0386,135.3575,133.735,134.9115,4343541
2017-02-16,135.1013,135.6658,133.6876,134.2948,4295811
2017-02-17,134.124,135.7939,133.7824,135.6801,5108352
2017-02-21,138.147,138.1944,135.9173,137.5967,9275897
2017-02-22,137.6251,138.0236,136.6004,137.8149,5037762
2017-02-23,138.6309,138.8396,137.1128,137.3025,4184046
2017-02-24,137.2456,138.6023,137.2456,138.4791,3516923
2017-02-27,138.4032,138.536,137.3879,137.8623,4388414
2017-02-28,137.5587,138.1754,137.0701,137.4923,4211949
2017-03-01,139.2096,140.1394,138.4231,139.1717,6213540
2017-03-02,139.5512,140.6423,138.8952,140.3767,4053412
2017-03-03,140.538,140.6708,139.3045,140.2438,3413398
2017-03-06,139.5987,139.9592,139.0768,139.5987,3998026
2017-03-07,139.6846,140.2764,139.2073,139.3886,3996289
2017-03-08,139.5796,140.4387,139.2932,140.2478,3614479
2017-03-09,140.4005,140.4769,139.8755,139.9614,3594694
2017-03-10,140.5532,140.7632,139.7991,140.1809,3123243
2017-03-13,140.6391,140.9637,139.8468,140.7346,2933276
2017-03-14,140.5819,140.8873,139.8087,140.4769,3272706
2017-03-15,140.6582,141.6415,140.095,141.231,3670513
2017-03-16,141.6606,142.4147,141.2883,141.9756,3544464
2017-03-17,142.6151,143.1783,141.4028,142.8061,9001961
2017-03-20,142.596,142.7965,140.9923,141.0878,5906058
2017-03-21,141.5937,141.9469,139.6177,139.9518,4530019
2017-03-22,140.0664,141.2119,139.4268,140.6678,3169038
2017-03-23,140.5914,141.6701,140.3528,141.2692,3219352
2017-03-24,141.1355,143.3311,140.3337,141.0019,4735361
2017-03-27,140.391,140.9732,139.6177,140.2,2943006
2017-03-28,140.601,140.6582,139.3123,140.5151,4635629
2017-03-29,139.7227,140.7251,139.3314,140.3623,3729973
2017-03-30,140.0568,140.6869,139.78,140.2764,2450781
2017-03-31,140.2,140.496,139.99,140.1619,3248666
2017-04-03,140.2669,140.5155,139.4555,139.9614,3775283
2017-04-04,139.8468,140.2287,139.4173,139.6941,3124200
2017-04-05,139.9709,141.6987,139.9232,139.9805,3390363
2017-04-06,140.3623,141.2405,140.3241,140.5532,2699679
2017-04-07,140.4196,141.0878,140.2287,140.4482,2869120
2017-04-10,140.2859,142.2285,140.0855,141.4792,5044458
2017-04-11,141.1928,141.8992,140.4196,141.4696,2844794
2017-04-12,140.7251,140.8682,139.7199,139.885,4445599
2017-04-13,139.7705,140.3337,139.2455,139.2836,2346886
2017-04-17,139.2741,140.6201,139.1404,140.6201,3467650
2017-04-18,140.3814,141.4505,140.1046,141.0496,2969413
2017-04-19,141.2119,141.6606,140.3432,140.5341,3460975
2017-04-20,140.9542,142.281,140.7442,141.966,3700495
2017-04-21,141.7465,143.3273,141.6606,143.1879,5019927
2017-04-24,144.2188,145.1544,143.9993,144.9921,5077174
2017-04-25,145.8512,147.6267,145.8512,146.0803,5496453
2017-04-26,146.1567,147.7772,145.4789,147.2162,5120177
2017-04-27,147.6649,149.1731,146.9012,149.03,5881432
2017-04-28,148.925,149.1541,147.1036,149.0109,4983041
2017-05-01,149.1254,149.1731,147.2067,147.2067,3152949
2017-05-02,147.474,148.1136,146.7771,147.9131,3295105
2017-05-03,148.1136,148.3331,147.5694,147.9608,2445489
2017-05-04,148.3999,148.5718,147.2544,147.8272,3793067
2017-05-05,148.2854,148.6768,147.0921,148.6577,2500636
2017-05-08,148.7722,150.0227,148.4286,149.765,3184576
2017-05-09,149.9082,150.5764,149.1922,150.5191,3004377
2017-05-10,150.3664,150.9678,150.1564,150.9487,2617601
2017-05-11,150.2041,150.5382,148.2758,149.1063,3929068
2017-05-12,149.2877,150.0609,148.6768,149.7936,2926365
2017-05-15,150.1373,150.6718,149.5454,150.185,6068872
2017-05-16,152.8388,153.5547,150.8723,151.0728,10120878
2017-05-17,149.9464,150.1564,148.8104,149.0013,5936974
2017-05-18,148.419,149.5502,148.1899,148.629,4858557
2017-05-19,148.9536,149.6218,148.2663,149.2018,4781806
2017-05-22,149.3832,149.87,148.7245,148.8772,3802060
2017-05-23,148.8295,149.3259,147.6553,147.7985,4640854
2017-05-24,147.6744,148.3713,146.3285,147.9608,4593198
2017-05-25,149.1063,149.5741,148.2949,149.3545,3110806
2017-05-26,149.0109,149.3163,147.6172,147.8654,4284660
2017-05-30,147.8558,148.3935,147.395,147.7406,3504291
2017-05-31,148.2014,148.2207,147.1645,147.3854,7158383
2017-06-01,147.395,148.9695,146.6461,148.9599,3385133
2017-06-02,148.6143,149.6416,148.2591,149.152,3485582
2017-06-05,149.3248,149.4112,148.0766,148.6143,2651789
2017-06-06,148.2783,148.4895,147.5198,148.0478,3260265
2017-06-07,148.5183,149.1039,148.1918,148.7775,3158964
2017-06-08,148.9695,149.0401,147.2606,147.3758,4041556
2017-06-09,147.8558,147.8558,146.6845,146.8573,4705349
2017-06-12,146.7037,147.1837,145.6764,146.1084,4473919
2017-06-13,146.2332,147.8942,145.9932,147.8462,3753767
2017-06-14,148.3359,151.005,147.8174,150.5057,5999411
2017-06-15,149.9008,150.9953,148.7391,150.5153,3972260
2017-06-16,150.016,150.4385,149.2096,150.3905,9105408
2017-06-19,150.6497,152.6851,150.1505,152.4739,5196140
2017-06-20,152.3971,152.8716,151.3122,151.3794,4201226
2017-06-21,151.6098,152.2051,150.1889,150.3425,4071298
2017-06-22,150.1985,150.8033,149.2672,149.2768,3347363
2017-06-23,148.9695,149.0367,144.8891,145.2731,11422231
2017-06-26,145.6188,145.9068,145.1003,145.3787,4128535
2017-06-27,145.0331,147.1357,144.7355,146.166,4567125
2017-06-28,146.6557,147.3278,146.2812,147.1165,5087003
2017-06-29,146.6749,146.8957,145.4748,146.0892,2855395
2017-06-30,146.4253,147.8558,146.1948,147.2798,3640851
2017-07-03,148.2303,148.6143,147.5774,147.8654,1658535
2017-07-05,147.8654,148.139,145.4172,146.5981,4432537
2017-07-06,145.7148,146.3965,145.1867,145.9836,3408538
2017-07-07,145.974,146.7709,145.8396,146.1564,3775383
2017-07-10,146.1468,146.1852,144.9755,145.1483,5081101
2017-07-11,145.4075,145.7532,144.4955,144.5915,5642013
2017-07-12,145.4172,147.0301,145.0619,146.5021,4275878
2017-07-13,146.7229,147.9806,146.5117,147.1741,3287961
2017-07-14,147.1069,147.539,145.7628,146.7805,3588437
2017-07-17,146.7997,148.3359,146.6269,147.7502,4166618
2017-07-18,147.6158,147.7214,145.9164,146.0988,3783567
2017-07-19,146.4637,147.8558,146.4637,147.1837,2808385
2017-07-20,146.4733,146.4829,139.8006,141.1639,18264081
2017-07-21,141.1639,141.5767,140.2998,140.7991,9120167
2017-07-24,140.7607,140.8375,138.4948,138.8116,7295913
2017-07-25,139.9254,141.5191,139.4837,141.1063,5002381
2017-07-26,141.0007,141.3703,140.1366,140.8375,2835975
2017-07-27,140.3478,141.9608,140.0694,141.836,5399029
2017-07-28,141.9992,142.3544,141.4423,142.172,3421081
2017-07-31,142.0952,143.9962,141.6535,143.6314,5253318
2017-08-01,143.9578,144.8411,143.9386,144.4955,3753303
2017-08-02,143.9578,144.8411,143.9386,144.4955,3754192
2017-08-03,144.6875,145.9644,144.4955,144.7739,5146565
2017-08-04,144.9851,146.6557,144.7835,146.6557,3258581
2017-08-07,146.7325,148.3071,146.3869,147.2317,3833620
2017-08-08,147.2029,148.0478,146.9725,147.2317,3218945
2017-08-09,147.2317,149.3632,147.2029,149.0655,3844857
2017-08-10,148.9983,149.7568,147.7406,147.7406,4433653
2017-08-11,147.9614,149.5072,147.8366,148.7007,3650541
2017-08-14,149.8144,149.824,147.4334,148.1054,6662484
2017-08-15,148.1198,148.6239,142.3448,144.1786,13528650
2017-08-16,145.4075,146.8477,145.1291,146.1756,6043875
2017-08-17,145.7532,146.0796,143.641,143.6986,4460870
2017-08-18,143.641,143.641,141.0967,141.6055,6989147
2017-08-21,141.2311,143.9002,141.0295,143.2473,4222473
2017-08-22,143.3337,144.5723,143.3337,143.929,3268114
2017-08-23,142.6521,143.5161,141.5452,143.1513,5235444
2017-08-24,143.7562,144.5915,142.076,142.3352,3736039
2017-08-25,142.5848,144.5243,142.4792,143.6794,3047971
2017-08-28,145.878,146.31,144.4282,145.3499,6845407
2017-08-29,144.9347,145.7363,143.9303,144.7125,5368723
2017-08-30,144.8671,145.1085,144.1717,144.8671,3640966
2017-08-31,145.4562,145.7604,144.7222,144.7415,6083340
2017-09-01,145.1182,145.7749,144.6353,145.6204,3383036
2017-09-05,146.5186,148.6529,146.5089,147.6968,7512387
2017-09-06,149.5608,151.6565,148.8702,151.2026,8126012
2017-09-07,152.7575,153.8295,151.4247,152.5257,8273080
2017-09-08,153.646,155.1913,152.1297,154.1965,10088630
2017-09-11,152.9989,153.308,150.8742,152.9507,8847928
2017-09-12,153.617,155.4231,153.279,154.438,5794570
2017-09-13,154.9015,155.8577,154.0903,154.5442,4713676
2017-09-14,154.8629,155.3458,153.8778,153.9261,5290796
2017-09-15,154.5056,154.5152,152.8734,152.9796,9124244
2017-09-18,153.5591,153.5591,152.2939,152.4098,4010587
2017-09-19,152.4002,152.9024,151.7821,152.265,3713412
2017-09-20,152.178,153.9358,151.9752,153.2501,4599197
2017-09-21,153.4335,154.0961,153.2887,153.7426,3082093
2017-09-22,153.6943,154.6118,153.5688,154.4959,3576479
2017-09-25,154.5732,155.9059,154.2834,155.5872,4897741
2017-09-26,156.0218,156.4564,155.2878,155.7418,3222646
2017-09-27,155.8577,156.157,154.6601,155.4134,3966238
2017-09-28,155.2202,156.891,155.1623,156.8041,4614080
2017-09-29,156.9393,158.0113,156.6013,157.9631,3467426
2017-10-02,158.5812,158.6294,157.6347,158.4073,2721377
2017-10-03,158.446,159.6242,158.388,159.518,3046381
2017-10-04,159.827,160.3968,159.2669,159.6339,2746513
2017-10-05,159.4214,160.561,158.6391,160.4355,3504865
2017-10-06,160.4934,160.928,160.0685,160.1747,2916301
2017-10-09,160.4548,160.928,159.7594,160.0395,2131837
2017-10-10,160.0298,160.1264,159.0061,159.5083,2755438
2017-10-11,159.5373,160.1892,158.8226,159.5952,2319308
2017-10-12,159.7498,159.7498,158.8419,158.9578,3397775
2017-10-13,159.2765,160.3871,158.726,158.8419,3259004
2017-10-16,158.8419,159.0351,157.6733,158.6005,2586716
2017-10-17,158.6005,159.2765,155.9843,157.7602,4189197
2017-10-18,157.8279,158.6198,157.7602,157.8568,2758595
2017-10-19,157.9051,158.4942,157.2001,157.654,2676062
2017-10-20,158.359,158.5329,157.1711,157.8375,4166481
2017-10-23,158.4266,160.5755,158.1466,159.1027,3995110
2017-10-24,159.0351,160.7638,159.0158,160.3485,3686663
2017-10-25,160.4258,161.2371,159.7211,160.4065,2945980
2017-10-26,160.6962,162.1932,160.4227,161.9131,3750464
2017-10-27,161.0922,162.0097,160.7638,161.6137,3720385
2017-10-30,161.2757,161.2757,159.2379,159.6532,3906265
2017-10-31,159.7401,160.6479,159.4504,160.1071,2922416
2017-11-01,160.7252,161.0342,159.4697,159.7208,3568321
2017-11-02,159.3634,159.3634,155.0367,157.1421,6518907
2017-11-03,157.4319,159.3441,157.1132,158.7647,3080941
2017-11-06,159.1606,159.2379,157.4319,158.6005,3275469
2017-11-07,158.4749,158.7743,157.258,158.0596,3198129
2017-11-08,157.7506,159.0447,157.683,158.4363,2912866
2017-11-09,158.4846,158.5184,156.7269,157.683,3381255
2017-11-10,157.7506,158.9482,157.3546,158.4942,3554945
2017-11-13,159.0061,160.9377,158.6294,159.6918,7189270
2017-11-14,158.021,162.3863,157.5671,162.3091,10284002
2017-11-15,161.7103,161.7103,159.6918,159.8077,5534520
2017-11-16,160.9763,162.0193,160.3775,161.7682,4587949
2017-11-17,161.2853,162.6664,160.3775,162.0,4530127
2017-11-20,162.3863,164.8491,162.058,164.6173,4699894
2017-11-21,164.6945,166.9448,164.3276,166.9448,6229029
2017-11-22,166.9738,167.0221,166.1529,166.1722,4133497
2017-11-24,166.2205,167.1766,165.8656,166.433,1853587
2017-11-27,166.9545,168.9247,166.4812,168.2003,4539828
2017-11-28,168.9054,170.721,167.0714,170.5279,6048963
2017-11-29,171.3917,173.1971,170.5278,172.0517,4902161
2017-11-30,172.8477,175.3714,172.207,174.5464,9180664
2017-12-01,175.0317,175.3035,171.5179,175.1288,4683390
2017-12-04,177.8175,180.846,177.8175,179.4774,6193849
2017-12-05,179.3706,179.4871,176.9137,177.4875,6347568
2017-12-06,174.9638,176.808,173.4398,175.4976,6892458
2017-12-07,174.7696,177.2254,174.4978,176.6624,5484946
